City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Impfondo,CG,1.6381,18.0667,72.68,91,99,3.56,overcast clouds
80,Castro,BR,-24.7911,-50.0119,55.65,82,12,2.95,few clouds
81,Port Hardy,CA,50.6996,-127.4199,59.18,88,100,6.91,overcast clouds
82,Dikson,RU,73.5069,80.5464,32.95,91,92,7.14,overcast clouds
83,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,40,17.27,light rain
84,Bengkulu,ID,-3.8004,102.2655,74.7,86,25,4.45,scattered clouds
85,Iisalmi,FI,63.5592,27.1907,55.81,99,100,3.13,overcast clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,95.61,65,61,10.22,broken clouds
87,North Branch,US,45.5113,-92.9802,83.03,66,23,11.25,few clouds
88,Yellowknife,CA,62.456,-114.3525,71.56,56,75,4.0,broken clouds
89,Shenjiamen,CN,29.9576,122.298,79.25,90,94,8.59,overcast clouds
90,Port Elizabeth,ZA,-33.918,25.5701,62.31,80,2,17.0,clear sky
91,Seabra,BR,-12.4186,-41.7703,62.49,96,100,4.85,overcast clouds
92,Mataura,NZ,-46.1927,168.8643,42.48,70,50,1.34,scattered clouds
93,Polunochnoye,RU,60.8697,60.4153,60.57,91,15,2.71,few clouds
94,Flin Flon,CA,54.7682,-101.865,75.04,60,75,4.61,thunderstorm
95,Upernavik,GL,72.7868,-56.1549,39.65,86,9,6.64,clear sky
96,Severo-Yeniseyskiy,RU,60.3725,93.0408,60.48,91,93,4.83,overcast clouds
97,Nizwa,OM,22.9333,57.5333,80.42,78,100,0.78,light rain
98,Tarko-Sale,RU,64.9225,77.785,57.54,70,2,9.71,clear sky
99,Adrar,MR,20.5022,-10.0711,98.55,15,24,8.21,few clouds
100,Port Augusta,AU,-32.5,137.7667,49.28,59,38,5.53,scattered clouds
101,Cape Town,ZA,-33.9258,18.4232,58.37,85,22,1.99,few clouds
102,Dwarka,IN,22.2394,68.9678,82.6,82,100,23.38,overcast clouds
103,Luderitz,NA,-26.6481,15.1594,54.34,94,4,6.46,light rain
104,Ngunguru,NZ,-35.6167,174.5,64.08,73,41,4.18,scattered clouds
105,Bonthe,SL,7.5264,-12.505,75.4,95,100,11.68,heavy intensity rain
106,Mbandaka,CD,0.0487,18.2603,72.01,80,69,4.12,broken clouds
107,Shambu,ET,9.5667,37.1,50.49,98,100,1.66,light rain
108,Oranjemund,NA,-28.55,16.4333,55.63,87,8,22.26,light rain
109,Bakel,SN,14.905,-12.4568,90.45,51,12,12.84,few clouds
110,Avarua,CK,-21.2078,-159.775,77.05,53,63,12.66,broken clouds
111,San Policarpo,PH,12.1791,125.5072,81.82,77,89,5.06,overcast clouds
112,Kingaroy,AU,-26.5333,151.8333,53.76,61,1,5.3,clear sky
113,Hobart,AU,-42.8794,147.3294,49.26,81,75,8.05,broken clouds
114,Norman Wells,CA,65.282,-126.8329,83.5,26,71,9.64,broken clouds
115,Issenye,TZ,-2.0,34.3333,69.13,46,99,5.59,overcast clouds
116,Busselton,AU,-33.65,115.3333,54.99,63,92,13.69,overcast clouds
117,Roald,NO,62.5833,6.1333,54.16,93,100,11.5,light intensity drizzle
118,Chute-Aux-Outardes,CA,49.1168,-68.399,59.68,55,80,10.54,broken clouds
119,Katsuura,JP,35.1333,140.3,75.63,90,100,11.81,overcast clouds
120,Zhigansk,RU,66.7697,123.3711,56.32,65,100,6.55,overcast clouds
121,Kostomuksha,RU,64.571,30.5767,55.33,95,100,7.94,overcast clouds
122,Champasak,LA,14.75,106.0,73.29,99,100,0.34,overcast clouds
123,Promyshlennovskiy,RU,55.4833,86.2,63.37,77,22,5.23,few clouds
124,Nanakuli,US,21.3906,-158.1547,83.1,68,55,17.31,broken clouds
125,Kavieng,PG,-2.5744,150.7967,84.09,65,28,13.0,scattered clouds
126,Port Lincoln,AU,-34.7333,135.8667,50.83,70,67,15.99,broken clouds
127,Marawi,PH,7.9986,124.2928,74.89,82,100,6.13,overcast clouds
128,Rio Gallegos,AR,-51.6226,-69.2181,27.18,76,38,12.66,scattered clouds
129,Roebourne,AU,-20.7833,117.1333,62.94,26,1,9.51,clear sky
130,Ternate,ID,0.8,127.4,82.08,73,83,2.13,broken clouds
131,Sunrise Manor,US,36.2111,-115.0731,110.89,6,0,13.8,clear sky
132,Lorengau,PG,-2.0226,147.2712,83.52,76,86,11.83,overcast clouds
133,Georgetown,MY,5.4112,100.3354,83.89,83,20,0.0,light rain
134,Soligalich,RU,59.0778,42.2864,59.45,80,85,5.26,overcast clouds
135,Isangel,VU,-19.55,169.2667,80.82,67,9,12.82,clear sky
136,Lavrentiya,RU,65.5833,-171.0,51.42,80,100,11.72,overcast clouds
137,Vostok,RU,46.4856,135.8833,72.43,61,96,1.07,overcast clouds
138,Pitimbu,BR,-7.4706,-34.8086,75.9,84,35,15.73,scattered clouds
139,Tiksi,RU,71.6872,128.8694,56.12,51,99,8.86,overcast clouds
140,Xunchang,CN,28.4543,104.715,80.98,73,6,2.08,clear sky
141,Marienburg,PL,54.0359,19.0266,56.88,94,8,8.37,clear sky
142,Antalaha,MG,-14.9003,50.2788,66.61,88,51,9.37,light rain
143,Dostpur,IN,26.2833,82.4667,87.28,62,69,9.98,broken clouds
144,Kushmurun,KZ,52.4503,64.6311,63.91,76,19,6.51,few clouds
145,San Patricio,US,28.017,-97.5169,96.19,51,29,16.02,scattered clouds
146,Kaka,TM,37.3482,59.6143,76.41,22,0,0.72,clear sky
147,Torbay,CA,47.6666,-52.7314,59.29,86,71,1.99,broken clouds
148,Chai Nat,TH,15.1167,100.1,82.06,88,100,2.3,overcast clouds
149,Cabedelo,BR,-6.9811,-34.8339,75.96,85,13,14.83,few clouds
150,Helmsdale,GB,58.1168,-3.6517,62.55,86,87,13.89,overcast clouds
151,Banepa,NP,27.6298,85.5214,66.52,94,75,3.44,broken clouds
